Title,Metascore,Awards,rate
Son of the Mask,20,19,3
Zathura: A Space Adventure,67,5,7
Aquamarine,51,6,6
Click,45,15,7
Eragon,38,7,6
The Illusionist,68,20,8
Lady in the Water,36,18,6
The Lake House,52,4,7
My Super Ex-Girlfriend,50,2,6
Night at the Museum,48,10,7
Penelope,48,0,7
Pirates of the Caribbean: Dead Man's Chest,53,94,8
The Prestige,66,39,9
The Shaggy Dog,43,7,5
The Santa Clause 3: The Escape Clause,32,13,5
Stranger Than Fiction,67,18,8
Superman Returns,72,51,7
Underworld: Evolution,36,8,7
Wristcutters: A Love Story,62,15,8
Zoom,26,12,5
Beowulf,59,18,7
Bridge to Terabithia,74,11,8
Enchanted,75,61,8
Evan Almighty,37,13,6
Fred Claus,42,0,6
Ghost Rider,35,8,6
The Golden Compass,51,37,7
Mr. Magorium's Wonder Emporium,48,3,7
Pirates of the Caribbean: At World's End,50,63,8
The Seeker: The Dark Is Rising,38,0,5
Sex and Death 101,24,1,7
Shrek the Third,58,20,7
Slipstream,47,4,6
Spider-Man 3,59,35,7
Stardust,66,11,8
Bedtime Stories,33,7,7
The Chronicles of Narnia: Prince Caspian,62,21,7
City of Ember,58,6,7
The Curious Case of Benjamin Button,70,136,8
Delgo,27,0,5
The Forbidden Kingdom,57,4,7
Ghost Town,72,5,7
Hancock,49,15,7
Hellboy II: The Golden Army,78,31,7
The Mummy: Tomb of the Dragon Emperor,31,8,6
Over Her Dead Body,30,0,6
The Pirates Who Don't Do Anything: A VeggieTales Movie,49,0,6
The Spiderwick Chronicles,62,10,7
The Tale of Despereaux,53,9,7
Twilight,56,37,6
17 Again,48,7,7
Coraline,80,47,8
Ghosts of Girlfriends Past,34,1,6
The Imaginarium of Doctor Parnassus,65,26,7
Land of the Lost,32,11,6
The Lovely Bones,42,52,7
Night at the Museum: Battle of the Smithsonian,42,11,6
The Princess and the Frog,73,51,8
Shorts,53,2,5
The Twilight Saga: New Moon,44,40,5
Underworld: Rise of the Lycans,44,0,7
Where the Wild Things Are,71,52,7
The 6th Day,49,8,6
The Art of War,30,11,6
Battlefield Earth,9,16,3
Charlie's Angels,52,39,6
Get Carter,24,3,6
Mission: Impossible II,59,28,7
Romeo Must Die,52,8,7
Shanghai Noon,77,8,7
Titan A.E.,48,8,7
Vertical Limit,48,6,6
X-Men,64,39,8
3000 Miles to Graceland,21,12,6
Behind Enemy Lines,49,3,7
Double Take,25,0,6
Driven,29,8,5
Exit Wounds,39,2,6
The Fast and the Furious,58,21,7
Ghosts of Mars,35,1,5
A Knight's Tale,54,14,7
The Musketeer,27,0,5
The One,25,4,6
Pootie Tang,31,0,6
Rush Hour 2,48,32,7
The Adventures of Pluto Nash,12,7,4
All About the Benjamins,34,0,6
Bad Company,37,0,6
Ballistic: Ecks vs. Sever,19,4,4
Blade II,52,15,7
The Bourne Identity,68,8,8
Collateral Damage,33,0,6
Equilibrium,33,2,8
Extreme Ops,17,1,5
Half Past Dead,23,3,5
Minority Report,80,95,8
Reign of Fire,39,3,7
Spider-Man,73,72,8
Star Trek: Nemesis,51,5,7
The Sum of All Fears,45,6,7
The Tuxedo,30,3,6
Undercover Brother,69,8,6
xXx,48,17,6
A Man Apart,36,1,7
2 Fast 2 Furious,38,16,6
Bad Boys II,38,17,7
Biker Boyz,36,0,5
Bulletproof Monk,40,1,6
Charlie's Angels: Full Throttle,48,21,5
The Core,48,0,6
Cradle 2 the Grave,36,6,6
Daredevil,42,20,6
Hollywood Homicide,47,0,6
The Hunted,40,2,6
Lara Croft Tomb Raider: The Cradle of Life,43,3,6
